message,response
Haha I understand! It's for my husband. He broke his phone and doesn't want to spend a ton on a new one. Would you accept $125? I found a gold one for $120 earlier but it was too far.,Ouch!  No.  I'm sorry.  I can only go as low as $300.00.  It has 64 Gigabytes!
That might be a bit out of our price range. Does it come with a charger?,"Yes, it comes with a charger, and as indicated, it has a custom paint job!  It is totally worth it."
I would like to know more about this offer.,yes great plan
Would you accept $35 cash,let me check with boss he said the low he can go is 40
hi! I am very interested in your bike! are there any issues with it?,Hello! There are no issues with the bike. It works really well. I'm just leaving the area.
awesome! It would be perfect for me! I was wondering if you would take a little lower for it? closer to 120?,I would really prefer to stay close to the price I listed. Does $145 sound okay? The bike is very sturdy and well made.
"If you can give it to me for 140 and include a helmet I can come pick it up tonight,cash in hand.","Ok, that sounds reasonable. I'll see you tonight at 8pm!"
"I see your add for the shelf, I'm getting it for my daughter for her birthday, I am really short on cash, could you take $25?","I am sorry that is low , I ma lookign to get 40"
"I am really spreadding myself thin, but I can do $28.50","I think you failed to read my add, I asked that everyoen supply there phone number in replies."
"I'm sorry, you can call me at 555-555-1234",Thank for the number. I suppose we can continue to discuss the price on this platform.
"My daughter really wants this, but I have been out of work for several months and can't afford much. Would you Take $30? That is all I have on me, and I can pick it up today.",I am sorry to hear of that hard situation. Yes I will take $30.
Hi! I think this is a really neat bike and am very interested in it!,It is in great condition. It is too big for me. I am asking $250 for the bike and accesories.
"Well, given the fact that it only retails for 200, that seems a little high. I am willing to pay 160 since the accessories do not actually work, and it has been used before.",I would be willing to sell it for $185.
What about 180 and I will come pick it up today?,Perfect. I will see you later today to pick up the bike.
"Hello, yes I have a few questions. What is the mileage on this car and how long have you owned it?","I am the first owner of this car, bought it right off the lot. It has only 80k miles and the new michilin tires have seen only 3k miles.I am asking only $4500 for her."
That all sounds pretty good. If I came by tonight would I be able to take it for a test drive? And you would consider taking $4 for it if I paid cash?,"The test drive is okay, the engine purrs like a kitten. I was looking for serious offers only. BUT, I am willing to let her go for $4250."
Do you have a cover for it?,I sure do and that comes with the vehicle. Not a scratch of ding on it.
Alright I think I can do $4250 if everything checks out,Come on by for that test drive. I'll e-mail you my address.
Yes very interested?  how tall are they?,They are 24 inches
are you able to deliver?,Yes. For the full price of $65 I can deliver.
would you accept 45 if I pick them up?,$55?
"nice bike dude, what are you asking?",$40. Built it myself. Has good rims too.
nice. i like the color. I only have 30 =though,I would take $35
32?,Sure
Hi! I am interested in purchasing this vanity piece!,"Hi, I am glad to hear that, any questions?"
Yes in fact! Is the glass inside the piece interchangable? I have a great piece of glass that I would like to replace that with!,"I think it may be possible, but I am not sure 100%. If you have the knowledge I would say yes."
Awesome! I am willing to offer $40 for the piece. How does that sound?,"That sounds very low for such high quality. i am wanting to make a deal, but I need at least 60."
"Ok, since the glass is not of my style I am willing to pay $50 and I will also come and pick it up. Ok?",I suppose I can agree to that.
Hello. Does this item require batteries and are they included?,It comes with a wall charger
Is this a used item?,Yes but it is very good condition. I've lowered the price to $50 and I'll even deliver it to you and help you set it up if you'd like.
"Hey there, this place looks amazing, anything you could tell me about it price, size, and location wise?","I'm listing this wonderful apartment for $2250. It's a 1 bedroom apartment, you can lease short-term if that's something you'd prefer. It provides great views and it's located in a great location."
"Okay, that sounds amazing. But the price is a tad bit high for me. Is there any way you guys could do $1800?",Unfortunately there is too much demand for this wonderful apartment for me to drop the price that low. Would you consider $2000?
Hello,Hi. Do you have any questions about the listing?
Does the listing include a washer and dryer?,"Yes, we do have washer and dryer hook ups. Any other questions?"
Is the listing carpeted?,"Yes, most rooms are carpeted but there are some rooms such as the living room that have hardwood floors."
"Do the garage doors include an opener, or are they manual?",The garage doors are automatic. Are you still interested?
Would you be willing to throw in a free washer and dryer?,"Yes, of course. Would you buy for $2200?"
Hello. Has this case been used before?,"No, it's new. 25 bucks is a steal"
25 is bit high for me. Would you be willing to accept 23?,you know what? only because i'm a nice guy. deal
"Hey there! I really need some samsung 3d glasses, and I saw yours! Are they good quality and will they work 100% with my plasma TV>",Yes We used them with our plasma TV before our tv broke. They are in good condition I am asking $40 for 4 glasses.
Cool! Could I get them for $30 if I come by with cash in a few hours and pick them up? that would work very well with me.,Could you do $35 we only used them about 5 times and they should still have battery life to them.
"Hi, I am interested in your 1 bath studio. What condition is this in?",Its in  a great condition. Everything is very well kept and organized.
I have a child. Do you know if this is located near any schools or parks?,Yes absolutely. There are many schools and parks around. There is actually a very famous park right nearby. Its a five minute drive. I am sure you will enjoy that!
Great! I have an appointment on Monday afternoon. I could give you $947 cash at my appointment.,Well I am selling it for $1895. The lowest I can go is $1600
Is it move in ready? Are any amenities included with property?,Yes its move in ready and we can discuss more about it when we meet on monday if you will
Sounds wonderful. If I would be able to move in as soon as possible I could do $1500 cash.,That's great! We have a deal then!
love the place,?
can we work on a lower price,I have a nice system here and I paid a good price on it I can fancy a few offers but it must be reasonable the price is pretty firm
i can do $200,"come on, sorry i was thinking at least $725"
oh wow,It has many capabalities and it is a very dependable product make me another offer please.
can you do $550,It still has 30year factory warranty with full operational tech support. It is created by the brightest engineers out there. I can do $675.
ok i can afford that price can you have it delivered for me please,Its gonna cost you $25 more dollars you can pick it up please.
Hi  there how are you?,I am great how are you tonight?
Very well  thanks! What condition is the trunk in?,The carrier is in perfect shape I think I only used it about 2 or 3 times
Ok that sounds great! However i only have like 7 bucks would you accept that if i threw in a 6 pack of coors?,"Yuck can't stand the stuff it's bud light or nothin for me.  What I could do is knock it down to $12 if you can come get it right away,"
I am good. How are you? I see your interested in my table?,I am good..  Thank you!
Would you like to buy my table?,Could u tell me more about it?  Any scratches or warping anywhere?
"No scratches and no marks. The table was there for decoration. It is easy to move, and in like new condition.",It looks extremely heavy and in great condition!  I could do $350..
Deal i will also come to you.,That sounds awesome.  Thx.
Hi do you still have the bookcases?,Yes it's very nice
Are they handmade?  They look like they are.,"No they aren't handmade, but have that cool look :)"
Ok well I do only need 1 would you be willing to take $20?,I need to relocate to Montana and can't take them but I'll take 40 for both
well you did say you would sell them seperate and I don't really have the room for both but if you can do $30 for both I can find somewhere to put the other one.,Yes 30 is great
"Hi, I am interested in your bike","Terrific! It is in in pretty darn good condition, no dings or dents or damage. The paint has had a few small scratches that have been touched up."
How old is it?,"About 30 years old, it is an Italian Masi, not a California one, so it is pretty special."
"I have $945 in cash in my wallet. If I come and pick it up myself, will that be enough?","You know what? I wasn't going to go that low, but what the heck. It's yours!"
hi your home is really beautiful,Are you interested in the cottage?
"yes i am, but the price is out of my current budget, are you willing to lower it to 2450","I really can't go down that low $3,500 is a fair price can you make a serious offer?"
"i was being serious, i mean it doesn't come with electric so i think my offer is pretty reasonable",Actually the guest cottage is the one that doesn't have any electricity if you look at the listing.
"ok 2800 can you work with that?, if i bring my own furniture","That's still too low. How about $3,200"
3000 then we have a deal,3100 and we have a deal
"Hey there, I noticed your post about the table. I was looking to make an offer on it, if it is still available.",It is still available. Do you have any questions about it?
"I am short of money, but I would really like to get this table for my daughter's room. Could I offer you 300 for the table?",Yes of course that works for me.
"Hey, nice phone you have there, how new is it?","It is brand new, still in the box. It's also unlocked for all carriers."
"Oh wow, and it's the new seven too, no wonder it's fetching for a pretty penny. You still have all the colors?","This one is Jet Black but we have Gold, matte and gold. For just $780"
"Well, but there has to be one of those colors that sells less often? My budget's closer to 700 unfortunately :(","I can do $700, you have a deal."
Hi! I am very interested in this aparnment. Is it still available?,It is! It's a great place. Small and quiet and very spacious
"What are the schools like? Are there any kid friendly areas, such as parks, in the area?",The schools are great. The elementary school is 3 blocks away. A few playgrounds and there is common area outside the unit.
Great! Do you accept pets?,We accept cats and small dogs
Awesome! What is the going monthly rate?,The rent is 1900 a month. It's a steal for the area especially you get your own parking
"That is a bit out of our range, considering we would have to purchase new furniture.",It's well worth the money
Does it come furnished at all?,It doesn't come with any furniture but we have picnic benches outside.
What is the security deposit?,there is a 1 month security deposit
Would you be willing to accept half a month security deposit the first month and half the second month?,Sure
I am.  Can you tell me how old/new it is?,"It's only about 6 months, my band was beginning to do gigs but we had a falling out. Now I need to sell it because I'm going back to work. What's your budget?"
$45 seems a little high considering it is used.  How low do you think you can go?  I was thinking about $25,"I can't do that, it's barely used and it needs a good owner like you to crank it up to 11. I've only used it at about 7. I can do 35 lowest."
I'm interested in the home you advertised.,"Great, it's an amazing home. I am renting the upstairs bedrooms for $2800. It is in a nice neighborhood and I'm gone half of every month so you'll basically have the place to yourself half the time."
It sounds perfect.  Would you be willing to take $2500 a month?,If you pass a credit check and have a security deposit then I can accept that offer.
"hi, I am very interested in this coat rack!",Hello. Yes it is quite a conversation piece.
Hi. I'm wondering if you would be willing to accept a price of around $2000 instead. I'd be willing to pick it up from wherever you have it now.,"I cannot go down that low. I'd be willing to knock it down to 3000, and throw in a bikelock with a custom helmet"
"Hi, I was wondering if you could take $80. I am buying for a nursing home and can't afford much.","I apologize, but I can't accept $80, as I was really looking to get $100 for it. Would $93 work for you?"
"If we could make it an even $90, we would have a deal.",Give me $91 and I'll deliver it to you. Deal?
Hello! I'm very interested in your radio. How would you describe its condition?,It is very gently used - like new still.
"Awesome! Do you know if it plays FLAC files, in addition to mp3?","I honestly don't know if it plays that file format. It does play .mp3 as well as WMA files. It also is compatible with smartphones and usb/sd cards, so it is very flexible."
"I think I can work with that. My paycheck is late this week, so do you think you'd be able to take $13 for the radio?","With all of it's features, I honestly believe it would be a good buy at $50 - so I have listed it at quite a good bargain already. I am kind of firm at $15."
Would you be able to throw in any freebies or delivery?,I am guessing my price includes delivery! How can anyone beat this deal?
I did. It sounds great. Perfect for me. I do have a service animal.,That will be no problem. We don't always allow pets but service animals are acceptable as long as they remain orderly
I did. It sounds great. Perfect for me. I do have a service animal.,I'm hoping to receive 1595 but am willing to talk within reason
Sounds good. I can work with that. I would like to pay $1400 a month. Is there any way you would accept that?,How about $1450 and we have a deal?
I could go to $1430,That sounds like a good compromise
that's a nice chaise you got there. the recliner come up to the normal position?,"Hey there! Yes, the recliner comes back up so you can sit up right like a standard recliner. All of the parts still work on it, we just need to sell it to make more room!"
"yeah totally understandable. tell you what. i can do, 200 for this. cash. i pick it up. you won't have to lift a finger.","I'm sorry, but 200 is just a little bit too low from what we paid for it. We'd be willing to get it loaded for you if you could meet at 280"
"ok. still a bit high... i can do, say 250, but really that's the limit for me","If you can meet at 270, you have a deal and we'll still load it up for you!"
"I might be interested, but the price seems too high.",How much are you looking to spend?
Only about $350 or so,"Ouch...this bike has been well maintained by a pro mechanic for years, it still runs like it's new. This isn't a $350 bike"
Sorry I don't mean to insult you. It does look like a nice bike. What's the lowest that you are willing to go on it?,$600 and I'll deliver it to the location of your choice
I wish I could say yes but I just can't. It's still a little too high for me. Could you meet me in the middle at $475?,$550 and you've got a deal
I can't do that. I'm going to have to modify it for it to be able to work for me.,"Why's that? And $500, final offer"
I am! Can you tell me the mileage and whether it's been wrecked?,"it has been wrecked but only 40,000 miles on it"
"Thanks. Given the wrecked condition and the higher mileage for a 2015 I think the blue book value is closer to $9,000. Is your price negotiable?","not for 9,000 I can go down to 12k but no lower"
"Would you consider $11,000 if I pay cash today?","11,500 today only that's my lowest"
Hi I am interested in this item. Please elaborate more on it?,3 bedrooms with extra space!
The listing is not about bedroom. It tells me its a vintage rattan trunk?,Mine says I am a potential buyer of a home! lol
Woah! That's crazy I guess we quit it then,"Will we still get our code, or get redirected?! lol"
Hello I'm interested in this property. Yes have a couple of questions.,What can I help you with?
Are the utlities included here?,"The utilities are included, and wifi as well. This one does not include parking though, it is available for more."
How much is the parking per month?,The parking is an extra $40 a month.
"Okay, and are pets not allowed at all? Or is there a fee for having a pet?",I am sorry but pets are not allowed.
Okay. Now this is a bit out of my price range budget wise. I'm a professional artist so anything I can save is choice. Is it at all possible to rent this unit for 800. Comparable apartments in the area are running at around 850.,"I am sorry but I could not go lower than $1250 on this high end propert.  It is also close to the downtown area, with amenities."
"All I can do is 1000 a month other than that it won't be possible for me, especially with the parking fee as well.","That is too low , $1250 is my final offer."
"I am. My husband an I have been trying to get a tandem for awhile now. We sold our last one when we had kids, now that they are older, we can get back into it. How is the condition? Are you the original owner? Is it road ready?","Yeah, this is a spare we kept in a storage unit, and we haven't been on the road in a while. It's definitely road ready."
We know our tandem bikes and comps in the area put this one around $135. Would you take that if I picked it up?,"Oh wow you two have shopped around? Really want it then, 135 is fair. Let's do it."
"I am interested in the bike but 600 is too much as compared to the other models out there, like Zurich","yes this is a custom model, higher end"
I know the steel frame is custom but it isn't high end enough to justify that price.  What features does it come with?,"this isn't a street bike, it's for racing. Are you buying it for yourself? how tall are you?"
"I am 72 inches.  I understand what kind of bike it is, that kind of riding is popular where I am from.",right and I know it's used so i can come down to 500
That is still too much for me.  If it doesn't have any other high quality features other than the custom frame $300 is more what I am looking at.,I'll meet you in the middle at 400 only because I know I'm not going to racing anymore
Hi I am interested in the furniture,"Hello, thank you for your interest, I will give you some information on it. You are looking at a couch, loveseat, chair and ottoman. It's a great set and very comfortable."
"Yes, I can see that it is pretty worn in from the pictures, would you be willing to accept 300 for them?","it is in great shape, however, I must also mention it does have some staining and because of this I am willing to go lower on the offer so I will accept $300 for it"
Good morning I an wondering about the receiver.,What would you like to know?
are the speakers in good condition. No buzzing or crackling.,These speakers sound great! Clear and crisp quality.
Are all the connectors and wire included?,"Yes, all cables are included - along with a remote, for ease of use from your favorite chair!"
Sounds  nice. Would you come down on the price a bit. I was thinking more like 25$.,It's a great sound system. I was really hoping to get around $50 for the whole set.
I couldn't really go above 35 for it.,Do you live here in town?
"Yes , I am nearby.","I could do $40 and deliver it for you, since you're nearby."
"That seems fair, if you will help me set it up too.",Sure! That'll be no problem
"Hi there, Im interested in the Schwinn you posted","Hello! Yes it is a 15"" mountain bike with 21 speeds and grip shift. It is light enough to lift easily."
Hello I am interested in your listing. Can you tell me a bit about it please?,"sure, all 4 cubes for sale. Lightly used, each comes with a desk and chair. Also, I'll throw in a file cabinet"
Does the filing cabinet have the key?,Absolutely! $500 and they are yours
"Well the listing price says $400, and I don't really need the filing cabinet if it is going to jump the price up. I was hoping to come down on the price actually.",Whats your offer?
I was thinking about $300 .,$300 and you have to pick them up.
Hi is the bike still for sale?,"Hi, yes it is. It is in good condition, has new shifters rims and brakes. It is missing the rear brake cable though, and has a little bit of surface rust but nothing major."
How old is the bike?,I've had it for about 5 years now.
"Since there is some rust and it is a little older, would you mind going down on the price? $198? I would even be willing to go pick it up myself.",Sure that sounds like a fair price.
Good morning!  I'm interested in your futon chair.  Is it still available?,Yes! Do you have any questions about my chair?
"Any issues?  Tears, stains?","Nope, none at all. It's in excellent condition. I am a bit lazy and used it to mostly just hang clean, dry laundry."
Haha...I do the same thing with my treadmill.  I see you're asking $100.  Would you accept $90 if I came and picked it up?,Absolutely! I'm just thankful to get rid of it and free up space!
Hi there,Interested in this property?
"Yeah, but it looks like it might need some work that I would have to pay for, so I was hoping I could get it for $850",I can't do that. It's been updated recently and has stainless steel appliances. It's a beautiful studio in a great neighborhood. 1895 is a steal
"I can't do that. I could go up to $900, if it helps you out?",That's crazy. A studio half the size went for 1800. How about 1650? Recently remodeled!
It's not the size that I'm basing this on... it's the location and exterior. How about $1000?,Did I mention it comes with an offshores bank account with 500k? $1750. ;)
"Wow, that sound shady. How about this... $1050 and I don't report you to the feds? ;)",LOL. 1400 and you have a deal.
Make it 1300 and I'll shake your hand right now,"Alright, deal"
"Awesome, thanks!",Pleasure doing business with you!
hi I am interested in your soundstation. can you tell me more about it?,"Well, it's in very good condition, it was used in my office for only a short period of time.  It's practically brand new."
does it work with any phone?,"It should work with any standard telephone, yes"
ok would you take $46 for it? I will pick it up myself.,"Yes, that sounds reasonable.  Please bring cash, and let's just meet in downtown Berkeley, okay?"
So you'd be willing to take $20?,yes
"You list price is $39, where do you get $50",well tips how about 38.00
"Hey, this place sounds nice, but a little bit out of my price range. Why should I pay so much for it?",East Davis is a very popular right now and this price is pretty consistent with other similar units in the area. There are two bedrooms and two baths so there is plenty of space for two roommates!
What's in the area?,"Plenty of cafes, restaurants, and shopping all within 5 blocks! It's a very hot area right now."
How does $1200 a month sound?,"I wouldn't be able to take $1200. Like I mentioned, similar units in the area are going for more."
I can't go any higher than $1600 without having to find a very fortunate roomate.,I'll take $1600.
Yeah i'm interested....would you be willing to go to a lower price?,As long as it's reasonable. :)
Would you be willing to accept $75?,I'd probably be persuaded to go with 100.
That's a bit out of my price range...how about $85?,"At the 120 range, I was losing money. How close to 100 are you willing to go?"
"Alright...I can go to $90, would that work?","Split the difference,  you got a deal at 95. That's 25 off. . ."
Would you be willing to deliver the item to me?,"If you're local. I have a truck, could swing them by."
Hey there! Does the iPad have any dents or scratches?,No it is in like new condition.
Do the headphone and charging ports work properly?,Yes everything works properly.
"Great. If I pick it up, would you be willing to let it go for $133?",That is a little lower than I would like.  Can you come up a bit?
I would like to pay $2485 for this if your willing to negotiate. I have cash in hand,That is more than 1000 below my listing price. This is a unit with washer and dryer included. It has a fully equipted kitchen. It is in a quiet neighborhood.
Would you accept $3400?,Yes that sounds reasonable but let me tell you more about the house
Great okay!,It has central AC and heating. A 2 car garage. Wlaking distance to both elemntary schools. ONly thing is I need at least a 1 year contract and no pets allowed!
I am willing to sign a one year contract and I do not have any pets,Okay great 3400 soiunds great then!
how long have owned this mattress?,It has 2 years of normal wear
Any particular reason why you are now selling it?,It was used by my daughter who has since moved out. It is in good condition.
OK - I have $80 in cash on me now - does that work for you?,"It's been taken apart for easy pick up, slats are included. I could go 125"
Hello. I am very interested in the chairs. I can pay cash and pick them up for $150.00,"I can't sell them for half the asking price, sorry.  The price is firm"
"300.00 seems a bit much, especially if I am picking them up and have cash on hand....",Delivery would be $50 extra.  Paying cash does not offer a discount
"yes, but I am not asking for delivery. Cash will save you money in credit card transaction fees. Let's do 200 and I can come pick them up right now",Transactions fees would be less than $5.  I will not go lower than $275.  That is lower than the normal price they sell for every day.  $275 is my final offer.
"unless you have stellar credit card processor, your fees will be closer to 15.00 for 275. 250, cash on hand, I pick up, and will come get them right now.","$275 is the lowest price.  I cannot get them discounted from my supplier.  Any less, and it is not worth the sale."
"We are talking 25.00 here. I like the chairs, but I am not going over 250.00.",I guess we cannot make a deal then.  You will have to reject my offer.
"Wow, these look great I think I would like to offer $114.00",Too low.
I will pick them up then for 140.00,"How about this. You buy all 6, I'll knock off 5 bucks a piece on each chair."
okay so what will be my total price,870 for the set. I have other buyers so its a take it or leave it deal.
ok thanks,Great. You come to pick them up.
"I would only like one, but would you take $125?","Yes, that is a fair price. It's a deal!"
Hi. I am interested in this home.,Hello!  I am so glad.  It is a beautiful 6 bed/4 bath home.  6000 square feet.  Is that what you are looking for?
Yes I am. I would like to make you a offer. I can bring you $4050 right now.,I am sorry but that is too little.  This house has been remodeled as recently as 2016 and is in a family oriented neighborhood that is safe.  We are only 10 minutes from the Facebook HQ.  There is a lot of strong interest.
How about $4300 cash right now?,"Well it requires 2 months rent as is, if you can give me a 300 security deposit with half being non-refundable I can probably do 4300 a month."
I can do that and meet now.,Sounds good.
What is the condition of the chairs?,"They are in pretty good condition. They are used, but no rips or tears and non smoking home"
I will pay $5.,That's a little low. They are solid chairs. I willmeet you in the middle at 7
Hey so I'm interested in the bike you have for sale. Can you tell me about it?,"Sure thing. Frame is 17 Inches. Comes with a 3-speed Shimano nexus shifter. It works fine, but a tune-up and some new tires would help its performance greatly."
"Woah, that sounds like it needs a lot of stuff. What kind of condition is it in?","Again, it's in great working condition. It doesn't need those things that I mentioned, but they would help."
So can you deliver it?,Sure. That won't be a problem. Will you be willing to pay the listed price for it?
"Absolutely not, I'm thinking more $40. It needs another $100 in work.","That's a fair point, but $40 is too low for me. I'll go up to $65 for it, and won't charge extra for the delivery."
I'll meet you in the middle and pick it up at 52,That'll do fine.
Hi is this smartphone still available?,Absolutely!
Great is it new or used?,"Brand new, in the box."
Great and does it work for any carriers?,"It is an inlocked phone, so yes."
Great. Do you have different colors?,"Sorry, no just the one. It's black."
Okay that's fine I am interested in it. Do you have any room for negotiation? The price is way too high for me pleas?,"The price is not carved in stone, make me an offer."
$42,$42. would be fine if you'll pay for shipping.
Hello I am very interested in this unit. Can you tell me a bit more about the location please?,"Yes! the location is in a quiet neighborhood. good community, one of the safest in the state. just a mile away, the city center has plenty of things to do, and there is a community pool available to all residents."
Hey I think this is the bike of my dreams!!! Love the vintage feel! Do you know how high it is?  I dont want to run into the same issue you are having,"I don't have the exact height but I am 5'6"" and it is too tall for me, if that helps."
That helps! I anm 6'0 so it would work well!  I would like to offer you $920 cash today I can pickup within the hour.,Sounds good! I look forward to seeing you and I will have it ready to go!
"Yes, hi. what is the condition of car?","It's a salvage from a rear end accident, but everything has been fixed."
IS AC working allright?,"Yes, and it comes with certificates for smog, brakes, and lamps, as well as DMV VIN verification."
"It is salvage, so ican not resale it. Do you have papers and title?","Yes, all the paperwork is in order."
how much mileage does it give per gallon?,"it's about 21 avg (19 city 24 highway) and sorry for the delay, had to check."
"I would like to buy it for 12844, what do you think?","I don't think that's doable for me, that's nearly 25% off the list price. I can't go below 14,500."
"Hi! I'm interested in the nightstand. I would offer $50, and I can pick it up!",I really can't go below $65.
Hmmm. Could you deliver it?,For delivery it'll have to be $70.
That's pretty high. Are you sure you can't come down? I don't want to pay more than $60.,"Lowest I can do is $65, and I can throw in a top cover, which works well if you plan on putting a lamp on top."
hello,you want the desk?
"Yeah, Will you take an offer of $40 dollars if I come and pick it up with some buddies?",yes
"yes, I am! About how old is it?",about 10 years
"Okay, I want it but can you take $368 for it?",I can take $375 and we have a deal
Hello,Hello!
Very interested but 309 is a bit much,What would you like to offer?
150,Hmmm.  Thanks for your offer but that's less than I can accept.  How about $200?
I can do 160,How about $180?
Hello,Hi again!  Did you see my offer of $180?
Yes i did if i pay that will you deliver?,Absolutely!  No problem!
"Hi, I'm interested in the prepay service, but are there any other perks?",3 month monet back guarantee if anything goes wrong.
That sounds really good. Would you take $35 for it?,Sounds good. What time you picking it up?
HI I am interested in your vehicle,"Excellent, I'm interested in selling it! $15,750 is the asking price. What say you?"
How many miles are currently on it?,"only 1,563 miles. Didn't take her out too much at all. She was a weekend car."
"oh Great would you accept 15,000 since it will be a long drive for me to come purchase the car",That's totally reasonable. I'll even throw in some sheepskin seat covers no extra charge!
Hello,I have a wonderful SUV with very low miles for sale.
"Yes, I see that. Is there any cosmetic damage to the car?","There is a small accident on the side but you can hardly notice it. The miles are so low 48,135 and it drives wonderful."
"What was the accident? Is it a scratch, a dent?",A dent but I can fix it if you pay 8900.
Was there any other damage done to the car from the accident? Has it been in any other accidents? Did it needs anything replaced as a result?,No just the one accident.  It can also fill it up with gas and give you a free oil change if you take my offer of 8900.
I am interested in buying a nice IKEA bed. How long have you had this one? And are you the only owner?,"Yes, I am the only owner.  The frame and mattress is around a year old.  I am moving across the country and don't want to ship this over."
I am interested in buying a nice IKEA bed. How long have you had this one? And are you the only owner?,I can come down a little.  How about $90? And you will have to come and pick it up.
$90 sounds great. I can come an pick it up today if that's okay?,That sounds great to me.
"Hi! I'm very interested in the Smart Things Hub you have listed, but I'd like to negotiate the price. $60 is a bit too steep.","Fair enough I am open to hearign offers, but don't want to drop too far from the price."
"I'm seeing it on other websites for $40, but the local pickup is good for me rather than waiting for shipping. I'd be willing to go to $45.",what about meeting in the middle at 50?
Does it still have it's warranty?,yes
"I really was hoping to do no more than $45, but given that it's warranty is still valid I'm willing to do $50. Sound good?",yes
yes i would like to $175.00 usd,great!
"Hello. I really love your table and chairs. I would like to bring it home today but I only have $135 I can spend on it. However, I can come pick it up and pay for it today if that price would work for you.",Hm.. Would it be possible for you to go up to 150?
"Yeah, actually. I just remembered I have $15 left from a birthday card! Can I come pick it up today, for $150?",That sounds perfect. I'll arrange the final agreement then!
Yes I am.  It looks pretty good!  Are you looking for pick up or can you deliver?,"I can deliver it, we have a truck."
"I am concerned about the wobbliness, would you be willing to accept 30 if I came and picked it up?",It actually is very sturdy. Just the chairs need some screws tightened. Fits great into a small space.  Could you do $35?
"I am willing to do 35, yes.","Great, thanks!"
"Hello, is the long board still for sell?",yes it sure is for sale. Let me give you some information. You are looking at a long board that is customer built. It is basically brand new. My brother has only rode it for about 4 or 5 times.
